"filename", "language", "JavaScript", "TypeScript", "Markdown", "JSON with Comments", "JSON", "TypeScript JSX", "XML", "PostCSS", "comment", "blank", "total"
"/Users/josemelgar/Documents/Projects/budget/schema/ExportSchema.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/josemelgar/Documents/Projects/budget/schema/TransactionSchema.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 7, 50
"/Users/josemelgar/Documents/Projects/budget/schema/budgetSchema.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 1, 5, 20
"/Users/josemelgar/Documents/Projects/budget/schema/recurringTransactionSchema.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/josemelgar/Documents/Projects/budget/system-theme-detection.md", "Markdown", 0, 0, 49, 0, 0, 0, 0, 0, 0, 14, 63
"/Users/josemelgar/Documents/Projects/budget/tasks.md", "Markdown", 0, 0, 161, 0, 0, 0, 0, 0, 0, 15, 176
"/Users/josemelgar/Documents/Projects/budget/tests/utilityFuncs.test.ts", "TypeScript", 0, 193, 0, 0, 0, 0, 0, 0, 9, 6, 208
"/Users/josemelgar/Documents/Projects/budget/tsconfig.json", "JSON with Comments", 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"/Users/josemelgar/Documents/Projects/budget/utilities/rateLimit.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/josemelgar/Documents/Projects/budget/utilities/recurringTransactions.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/josemelgar/Documents/Projects/budget/utilities/utilityFuncs.ts", "TypeScript", 0, 66, 0, 0, 0, 0, 0, 0, 1, 15, 82
"Total", "-", 35, 1418, 1196, 45, 14997, 5516, 26, 165, 530, 1138, 25066
